treatment,dose_uM,replID,plateID,cell_line,timeID,timeAfterExposure,locationID,IntegratedIntensity_GM,MeanIntensity_GM,Cell_count
CDDP,5,2,p53,HepG2 P53-GFP,4,6,D07_1,1.5125031218721294,0.24740840427308627,1214
CDDP,5,2,p53,HepG2 P53-GFP,4,6,D07_2,1.4846142781693443,0.24446745530237318,1302
CDDP,5,2,p53,HepG2 P53-GFP,5,8,D07_1,1.4626926269794278,0.24083876778662572,1215
CDDP,5,2,p53,HepG2 P53-GFP,5,8,D07_2,1.4820375661700234,0.24491918686701014,1316
CDDP,5,2,p53,HepG2 P53-GFP,6,10,D07_1,1.4530457665373273,0.23988448907424334,1241
CDDP,5,2,p53,HepG2 P53-GFP,6,10,D07_2,1.5055856119218325,0.24961960389372195,1351
CDDP,5,2,p53,HepG2 P53-GFP,7,12,D07_1,1.460150478700245,0.2436579298914981,1263
CDDP,5,2,p53,HepG2 P53-GFP,7,12,D07_2,1.4579221456922304,0.24197836731959216,1328
CDDP,5,2,p53,HepG2 P53-GFP,8,14,D07_1,1.4772844689866338,0.24577645233180484,1254
CDDP,5,2,p53,HepG2 P53-GFP,8,14,D07_2,1.474668247976298,0.24334363195586542,1338
CDDP,5,2,p53,HepG2 P53-GFP,9,16,D07_1,1.4357890541431066,0.24059451784723937,1278
CDDP,5,2,p53,HepG2 P53-GFP,9,16,D07_2,1.485864749657477,0.24756905985061953,1361
CDDP,5,2,p53,HepG2 P53-GFP,10,18,D07_1,1.4708963884617097,0.24419499335881872,1292
CDDP,5,2,p53,HepG2 P53-GFP,10,18,D07_2,1.4670320829852566,0.2476648865501183,1416
CDDP,5,2,p53,HepG2 P53-GFP,11,20,D07_1,1.4564310551399942,0.24345905582143432,1291
CDDP,5,2,p53,HepG2 P53-GFP,11,20,D07_2,1.465661022543014,0.24824224911566473,1427
CDDP,5,2,p53,HepG2 P53-GFP,12,22,D07_1,1.4502673340350873,0.24472329267918128,1313
CDDP,5,2,p53,HepG2 P53-GFP,12,22,D07_2,1.4507480555509837,0.24723818981940812,1449
CDDP,5,3,p53,HepG2 P53-GFP,1,0,F07_1,1.4172761530206972,0.22861112989128568,916
CDDP,5,3,p53,HepG2 P53-GFP,1,0,F07_2,1.406615965313513,0.2246668267679485,1172
CDDP,5,3,p53,HepG2 P53-GFP,2,2,F07_1,1.5046385045820794,0.24493530395391425,944
CDDP,5,3,p53,HepG2 P53-GFP,2,2,F07_2,1.5234226922864642,0.24536027922611583,1190
CDDP,5,3,p53,HepG2 P53-GFP,3,4,F07_1,1.546386491157985,0.252174513608374,979
CDDP,5,3,p53,HepG2 P53-GFP,3,4,F07_2,1.5581117281579833,0.25163862472419285,1222
CDDP,5,3,p53,HepG2 P53-GFP,4,6,F07_1,1.5209809708946695,0.2473025931846588,970
CDDP,5,3,p53,HepG2 P53-GFP,4,6,F07_2,1.5160897537988627,0.24533925109636837,1245
CDDP,5,3,p53,HepG2 P53-GFP,5,8,F07_1,1.5240244653709634,0.2500146895751787,969
CDDP,5,3,p53,HepG2 P53-GFP,5,8,F07_2,1.5175658689355322,0.24861859319227633,1275
CDDP,5,3,p53,HepG2 P53-GFP,6,10,F07_1,1.4973597160404997,0.24904416894839165,1017
CDDP,5,3,p53,HepG2 P53-GFP,6,10,F07_2,1.4779292013835228,0.24585393762372507,1307
CDDP,5,3,p53,HepG2 P53-GFP,7,12,F07_1,1.489319038724061,0.2485510765158274,997
CDDP,5,3,p53,HepG2 P53-GFP,7,12,F07_2,1.484272771468529,0.2452376199412625,1306
CDDP,5,3,p53,HepG2 P53-GFP,8,14,F07_1,1.462488423588972,0.2431416399956918,999
CDDP,5,3,p53,HepG2 P53-GFP,8,14,F07_2,1.4578902586388052,0.24533618594050152,1361
CDDP,5,3,p53,HepG2 P53-GFP,9,16,F07_1,1.4985093586310967,0.24942861023093307,1032
CDDP,5,3,p53,HepG2 P53-GFP,9,16,F07_2,1.4740444465408449,0.2468631420994944,1368
CDDP,5,3,p53,HepG2 P53-GFP,10,18,F07_1,1.4466159682094133,0.2429205649311398,1064
CDDP,5,3,p53,HepG2 P53-GFP,10,18,F07_2,1.4969987227335761,0.251234582367787,1369
CDDP,5,3,p53,HepG2 P53-GFP,11,20,F07_1,1.4638699342408175,0.24556781109589554,1060
CDDP,5,3,p53,HepG2 P53-GFP,11,20,F07_2,1.4931096587264303,0.2488109992895694,1379
CDDP,5,3,p53,HepG2 P53-GFP,12,22,F07_1,1.4589505521664203,0.24788091531474332,1083
CDDP,5,3,p53,HepG2 P53-GFP,12,22,F07_2,1.469567956597567,0.24841890983214343,1418
CDDP,10,1,p53,HepG2 P53-GFP,1,0,B06_1,1.4062151601883288,0.22580958807480592,870
CDDP,10,1,p53,HepG2 P53-GFP,1,0,B06_2,1.3943885329193884,0.22518363769233155,1055
CDDP,10,1,p53,HepG2 P53-GFP,2,2,B06_1,1.4408774675032896,0.23486036461719137,946
CDDP,10,1,p53,HepG2 P53-GFP,2,2,B06_2,1.4713211486961961,0.2364354570594618,1074
CDDP,10,1,p53,HepG2 P53-GFP,3,4,B06_1,1.468522441093535,0.2407739047878381,988
CDDP,10,1,p53,HepG2 P53-GFP,3,4,B06_2,1.5086855348981636,0.24536318843026944,1109
CDDP,10,1,p53,HepG2 P53-GFP,4,6,B06_1,1.4705263938443958,0.24296042634930343,988
