"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"replID"	"locationID"	"variable"	"value"
"MIT"	7.5	"Plate2"	"8"	"HepG2 WT"	"1"	"D04_2"	"imageCountParentObj"	302
"MIT"	7.5	"Plate2"	"8"	"HepG2 WT"	"1"	"D04_3"	"imageCountParentObj"	380
"MIT"	7.5	"Plate2"	"8"	"HepG2 WT"	"1"	"D04_4"	"imageCountParentObj"	550
"MIT"	0.75	"Plate2"	"8"	"HepG2 WT"	"1"	"D05_1"	"imageCountParentObj"	423
"MIT"	0.75	"Plate2"	"8"	"HepG2 WT"	"1"	"D05_2"	"imageCountParentObj"	304
"MIT"	0.75	"Plate2"	"8"	"HepG2 WT"	"1"	"D05_3"	"imageCountParentObj"	451
"MIT"	0.75	"Plate2"	"8"	"HepG2 WT"	"1"	"D05_4"	"imageCountParentObj"	432
"MIT"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"D06_1"	"imageCountParentObj"	418
"MIT"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"D06_2"	"imageCountParentObj"	414
"MIT"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"D06_3"	"imageCountParentObj"	418
"MIT"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"D06_4"	"imageCountParentObj"	464
"MIT"	45	"Plate2"	"2"	"HepG2 WT"	"1"	"D07_1"	"imageCountParentObj"	429
"MIT"	45	"Plate2"	"2"	"HepG2 WT"	"1"	"D07_2"	"imageCountParentObj"	475
"MIT"	45	"Plate2"	"2"	"HepG2 WT"	"1"	"D07_3"	"imageCountParentObj"	337
"MIT"	45	"Plate2"	"2"	"HepG2 WT"	"1"	"D07_4"	"imageCountParentObj"	529
"MIT"	15	"Plate2"	"2"	"HepG2 WT"	"1"	"D08_1"	"imageCountParentObj"	427
"MIT"	15	"Plate2"	"2"	"HepG2 WT"	"1"	"D08_2"	"imageCountParentObj"	451
"MIT"	15	"Plate2"	"2"	"HepG2 WT"	"1"	"D08_3"	"imageCountParentObj"	463
"MIT"	15	"Plate2"	"2"	"HepG2 WT"	"1"	"D08_4"	"imageCountParentObj"	604
"MIT"	7.5	"Plate2"	"2"	"HepG2 WT"	"1"	"D09_1"	"imageCountParentObj"	484
"MIT"	7.5	"Plate2"	"2"	"HepG2 WT"	"1"	"D09_2"	"imageCountParentObj"	314
"MIT"	7.5	"Plate2"	"2"	"HepG2 WT"	"1"	"D09_3"	"imageCountParentObj"	371
"MIT"	7.5	"Plate2"	"2"	"HepG2 WT"	"1"	"D09_4"	"imageCountParentObj"	427
"MIT"	0.75	"Plate2"	"2"	"HepG2 WT"	"1"	"D10_1"	"imageCountParentObj"	442
"MIT"	0.75	"Plate2"	"2"	"HepG2 WT"	"1"	"D10_2"	"imageCountParentObj"	422
"MIT"	0.75	"Plate2"	"2"	"HepG2 WT"	"1"	"D10_3"	"imageCountParentObj"	371
"MIT"	0.75	"Plate2"	"2"	"HepG2 WT"	"1"	"D10_4"	"imageCountParentObj"	511
"MIT"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"D11_1"	"imageCountParentObj"	455
"MIT"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"D11_2"	"imageCountParentObj"	369
"MIT"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"D11_3"	"imageCountParentObj"	388
"MIT"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"D11_4"	"imageCountParentObj"	586
"CIS"	25	"Plate2"	"6"	"HepG2 WT"	"1"	"E02_1"	"imageCountParentObj"	437
"CIS"	25	"Plate2"	"6"	"HepG2 WT"	"1"	"E02_2"	"imageCountParentObj"	421
"CIS"	25	"Plate2"	"6"	"HepG2 WT"	"1"	"E02_3"	"imageCountParentObj"	342
"CIS"	25	"Plate2"	"6"	"HepG2 WT"	"1"	"E02_4"	"imageCountParentObj"	295
"CIS"	10	"Plate2"	"6"	"HepG2 WT"	"1"	"E03_1"	"imageCountParentObj"	595
"CIS"	10	"Plate2"	"6"	"HepG2 WT"	"1"	"E03_2"	"imageCountParentObj"	409
"CIS"	10	"Plate2"	"6"	"HepG2 WT"	"1"	"E03_3"	"imageCountParentObj"	389
"CIS"	10	"Plate2"	"6"	"HepG2 WT"	"1"	"E03_4"	"imageCountParentObj"	471
"CIS"	5	"Plate2"	"6"	"HepG2 WT"	"1"	"E04_1"	"imageCountParentObj"	428
"CIS"	5	"Plate2"	"6"	"HepG2 WT"	"1"	"E04_2"	"imageCountParentObj"	387
"CIS"	5	"Plate2"	"6"	"HepG2 WT"	"1"	"E04_3"	"imageCountParentObj"	375
"CIS"	5	"Plate2"	"6"	"HepG2 WT"	"1"	"E04_4"	"imageCountParentObj"	415
"CIS"	2.5	"Plate2"	"6"	"HepG2 WT"	"1"	"E05_1"	"imageCountParentObj"	473
"CIS"	2.5	"Plate2"	"6"	"HepG2 WT"	"1"	"E05_2"	"imageCountParentObj"	414
"CIS"	2.5	"Plate2"	"6"	"HepG2 WT"	"1"	"E05_3"	"imageCountParentObj"	453
"CIS"	2.5	"Plate2"	"6"	"HepG2 WT"	"1"	"E05_4"	"imageCountParentObj"	492
"CIS"	0	"Plate2"	"6"	"HepG2 WT"	"1"	"E06_1"	"imageCountParentObj"	412
"CIS"	0	"Plate2"	"6"	"HepG2 WT"	"1"	"E06_2"	"imageCountParentObj"	463
"CIS"	0	"Plate2"	"6"	"HepG2 WT"	"1"	"E06_3"	"imageCountParentObj"	436
"CIS"	0	"Plate2"	"6"	"HepG2 WT"	"1"	"E06_4"	"imageCountParentObj"	494
"CIS"	25	"Plate2"	"3"	"HepG2 WT"	"1"	"E07_1"	"imageCountParentObj"	504
"CIS"	25	"Plate2"	"3"	"HepG2 WT"	"1"	"E07_2"	"imageCountParentObj"	549
"CIS"	25	"Plate2"	"3"	"HepG2 WT"	"1"	"E07_3"	"imageCountParentObj"	494
"CIS"	25	"Plate2"	"3"	"HepG2 WT"	"1"	"E07_4"	"imageCountParentObj"	590
"CIS"	10	"Plate2"	"3"	"HepG2 WT"	"1"	"E08_1"	"imageCountParentObj"	443
"CIS"	10	"Plate2"	"3"	"HepG2 WT"	"1"	"E08_2"	"imageCountParentObj"	566
"CIS"	10	"Plate2"	"3"	"HepG2 WT"	"1"	"E08_3"	"imageCountParentObj"	384
"CIS"	10	"Plate2"	"3"	"HepG2 WT"	"1"	"E08_4"	"imageCountParentObj"	385
"CIS"	5	"Plate2"	"3"	"HepG2 WT"	"1"	"E09_1"	"imageCountParentObj"	486
"CIS"	5	"Plate2"	"3"	"HepG2 WT"	"1"	"E09_2"	"imageCountParentObj"	457
"CIS"	5	"Plate2"	"3"	"HepG2 WT"	"1"	"E09_3"	"imageCountParentObj"	443
"CIS"	5	"Plate2"	"3"	"HepG2 WT"	"1"	"E09_4"	"imageCountParentObj"	471
"CIS"	2.5	"Plate2"	"3"	"HepG2 WT"	"1"	"E10_1"	"imageCountParentObj"	404
"CIS"	2.5	"Plate2"	"3"	"HepG2 WT"	"1"	"E10_2"	"imageCountParentObj"	445
"CIS"	2.5	"Plate2"	"3"	"HepG2 WT"	"1"	"E10_3"	"imageCountParentObj"	417
"CIS"	2.5	"Plate2"	"3"	"HepG2 WT"	"1"	"E10_4"	"imageCountParentObj"	520
"CIS"	0	"Plate2"	"3"	"HepG2 WT"	"1"	"E11_1"	"imageCountParentObj"	506
"CIS"	0	"Plate2"	"3"	"HepG2 WT"	"1"	"E11_2"	"imageCountParentObj"	397
"CIS"	0	"Plate2"	"3"	"HepG2 WT"	"1"	"E11_3"	"imageCountParentObj"	375
"CIS"	0	"Plate2"	"3"	"HepG2 WT"	"1"	"E11_4"	"imageCountParentObj"	515
"ETO"	50	"Plate2"	"6"	"HepG2 WT"	"1"	"F02_1"	"imageCountParentObj"	202
"ETO"	50	"Plate2"	"6"	"HepG2 WT"	"1"	"F02_2"	"imageCountParentObj"	237
"ETO"	50	"Plate2"	"6"	"HepG2 WT"	"1"	"F02_3"	"imageCountParentObj"	323
"ETO"	50	"Plate2"	"6"	"HepG2 WT"	"1"	"F02_4"	"imageCountParentObj"	297
"ETO"	25	"Plate2"	"6"	"HepG2 WT"	"1"	"F03_1"	"imageCountParentObj"	399
"ETO"	25	"Plate2"	"6"	"HepG2 WT"	"1"	"F03_2"	"imageCountParentObj"	499
"ETO"	25	"Plate2"	"6"	"HepG2 WT"	"1"	"F03_3"	"imageCountParentObj"	357
"ETO"	25	"Plate2"	"6"	"HepG2 WT"	"1"	"F03_4"	"imageCountParentObj"	471
"ETO"	5	"Plate2"	"6"	"HepG2 WT"	"1"	"F04_1"	"imageCountParentObj"	475
"ETO"	5	"Plate2"	"6"	"HepG2 WT"	"1"	"F04_2"	"imageCountParentObj"	342
"ETO"	5	"Plate2"	"6"	"HepG2 WT"	"1"	"F04_3"	"imageCountParentObj"	386
"ETO"	5	"Plate2"	"6"	"HepG2 WT"	"1"	"F04_4"	"imageCountParentObj"	501
"ETO"	1	"Plate2"	"6"	"HepG2 WT"	"1"	"F05_1"	"imageCountParentObj"	448
